"filename", "language", "Python", "comment", "blank", "total"
"d:\dev\pygame\new-platformer\crafting\recipes.py", "Python", 7, 0, 2, 9
"d:\dev\pygame\new-platformer\inventory\inventory.py", "Python", 52, 3, 3, 58
"d:\dev\pygame\new-platformer\sprites\player.py", "Python", 29, 0, -1, 28
"d:\dev\pygame\new-platformer\sprites\tile.py", "Python", 7, 0, 1, 8
"d:\dev\pygame\new-platformer\world\itemdata.py", "Python", 4, 0, 0, 4
"d:\dev\pygame\new-platformer\world\scene.py", "Python", 21, 1, 4, 26
"d:\dev\pygame\new-platformer\world\texturedata.py", "Python", 11, 0, 0, 11
"Total", "-", 131, 4, 9, 144
