"filename", "language", "Python", "comment", "blank", "total"
"d:\dev\pygame\new-platformer\inventory\inventory.py", "Python", 37, 2, -1, 38
"d:\dev\pygame\new-platformer\sprites\player.py", "Python", 25, 0, 1, 26
"d:\dev\pygame\new-platformer\sprites\tile.py", "Python", 12, 0, 1, 13
"d:\dev\pygame\new-platformer\world\drops.py", "Python", 54, 2, 4, 60
"d:\dev\pygame\new-platformer\world\itemdata.py", "Python", -2, 0, 0, -2
"d:\dev\pygame\new-platformer\world\scene.py", "Python", 8, 0, 0, 8
"d:\dev\pygame\new-platformer\world\texturedata.py", "Python", 3, 0, -1, 2
"Total", "-", 137, 4, 4, 145
